age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
63,retired,married,secondary,no,694,no,no,cellular,27,may,485.0,1,,2,failure,no
32,blue-collar,divorced,secondary,no,391,yes,no,cellular,13,apr,88.0,1,,0,unknown,no
32,student,single,secondary,no,102,no,no,cellular,27,apr,99.0,7,,0,unknown,no
81,retired,married,primary,no,0,no,no,telephone,5,aug,541.0,1,,3,success,no
24,student,single,tertiary,no,0,no,no,cellular,28,jan,108.0,1,,1,success,no
31,services,single,secondary,no,-189,yes,no,cellular,7,may,182.0,1,,3,other,no
52,admin.,married,secondary,no,-268,no,yes,cellular,11,aug,37.0,1,,1,failure,no
32,management,married,tertiary,no,1158,no,no,telephone,30,jun,541.0,2,,4,other,yes
40,technician,married,secondary,no,1852,no,no,cellular,3,jun,556.0,1,,1,other,yes
28,admin.,single,tertiary,no,147,yes,no,cellular,9,mar,67.0,3,,1,failure,no
20,student,single,secondary,no,1967,no,no,cellular,26,may,173.0,1,,7,other,yes
60,retired,married,secondary,no,5853,no,no,cellular,6,aug,,2,,3,failure,no
37,blue-collar,single,primary,no,422,yes,no,cellular,11,may,1164.0,1,,4,failure,no
67,retired,divorced,primary,no,243,no,yes,cellular,11,sep,40.0,2,,0,unknown,no
38,blue-collar,married,primary,no,-163,yes,no,cellular,17,apr,276.0,2,,1,failure,no
59,management,married,tertiary,no,2284,no,no,telephone,2,jun,199.0,1,,3,failure,no
32,student,single,primary,no,413,yes,no,telephone,13,may,242.0,3,,7,failure,no
55,management,married,tertiary,no,1033,no,no,cellular,5,jun,446.0,1,,0,unknown,no
39,technician,married,secondary,no,314,no,no,cellular,21,aug,249.0,1,,12,other,no
26,management,married,secondary,no,556,no,no,cellular,26,may,230.0,3,,0,unknown,yes
31,technician,married,secondary,no,2048,yes,no,cellular,31,aug,496.0,2,,0,unknown,yes
22,admin.,single,tertiary,no,4545,no,no,cellular,4,may,725.0,1,,0,unknown,yes
38,admin.,married,secondary,no,1595,no,no,unknown,9,sep,23.0,1,,5,failure,no
59,management,divorced,tertiary,no,406,yes,no,cellular,5,jun,118.0,2,,0,unknown,no
59,management,married,unknown,no,1450,no,no,cellular,11,aug,318.0,3,,2,failure,yes
64,retired,divorced,secondary,no,2026,no,no,cellular,24,aug,112.0,1,,2,failure,no
53,admin.,single,secondary,no,2589,no,no,cellular,26,may,716.0,1,,1,success,yes
32,blue-collar,single,secondary,no,1495,no,no,cellular,18,may,102.0,1,,0,unknown,no
27,admin.,single,unknown,no,380,no,no,cellular,23,oct,119.0,1,,1,failure,no
68,retired,single,primary,no,5529,no,no,cellular,10,feb,229.0,1,,2,failure,yes
33,services,divorced,secondary,no,-278,yes,no,cellular,13,may,7.0,4,,1,other,no
32,admin.,single,secondary,no,59,yes,no,cellular,17,apr,226.0,1,,0,unknown,no
30,blue-collar,married,secondary,no,2457,yes,no,cellular,17,apr,240.0,2,,2,failure,no
42,blue-collar,divorced,unknown,no,207,yes,no,cellular,16,apr,394.0,2,,0,unknown,no
77,retired,married,primary,no,123,no,no,telephone,4,sep,257.0,1,,0,unknown,no
71,retired,married,primary,no,5584,no,no,cellular,29,oct,193.0,1,,3,failure,yes
32,student,divorced,unknown,no,139,no,no,cellular,16,mar,102.0,1,,0,unknown,no
40,technician,single,tertiary,no,136,yes,no,cellular,3,apr,465.0,1,,7,failure,no
27,blue-collar,married,primary,no,2047,yes,no,cellular,20,apr,229.0,1,,1,failure,no
26,unemployed,single,secondary,no,14,no,no,cellular,7,aug,252.0,1,,0,unknown,yes
37,blue-collar,married,secondary,no,543,yes,no,cellular,20,apr,302.0,1,,0,unknown,no
24,entrepreneur,single,tertiary,no,112,yes,no,cellular,13,may,151.0,1,,0,unknown,no
28,blue-collar,married,secondary,no,230,yes,no,cellular,15,may,207.0,1,,2,failure,no
31,blue-collar,single,secondary,no,486,no,no,cellular,24,apr,305.0,2,,1,failure,yes
22,student,single,secondary,no,2297,no,no,cellular,12,oct,700.0,1,,0,unknown,yes
38,technician,married,tertiary,no,863,yes,no,unknown,16,nov,5.0,1,,3,success,no
43,blue-collar,married,secondary,no,148,yes,no,cellular,18,may,11.0,6,,0,unknown,no
28,student,single,secondary,no,5330,no,no,cellular,30,jul,113.0,1,,3,success,no
