age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
42,management,married,tertiary,no,128,no,no,unknown,3,jun,126.0,4,-1,0,unknown,no
35,management,single,tertiary,no,6,no,no,unknown,27,may,228.0,4,-1,0,unknown,no
38,services,married,unknown,no,91,yes,no,unknown,2,jun,106.0,3,-1,0,unknown,no
30,admin.,single,secondary,no,474,yes,no,unknown,3,jun,206.0,3,-1,0,unknown,no
28,admin.,married,secondary,no,2754,yes,no,unknown,19,may,88.0,2,-1,0,unknown,no
26,management,single,tertiary,no,260,yes,no,unknown,28,may,68.0,1,-1,0,unknown,no
31,services,married,secondary,no,283,yes,no,unknown,13,may,86.0,1,-1,0,unknown,no
40,management,single,tertiary,no,689,yes,no,unknown,30,may,333.0,1,-1,0,unknown,no
34,management,married,tertiary,no,1949,yes,no,unknown,8,may,138.0,1,-1,0,unknown,no
39,management,married,tertiary,no,4034,yes,no,unknown,20,may,94.0,1,-1,0,unknown,no
53,admin.,married,secondary,no,-184,yes,no,unknown,26,may,130.0,6,-1,0,unknown,no
28,services,married,tertiary,no,7426,yes,yes,unknown,27,may,116.0,1,-1,0,unknown,no
53,admin.,single,secondary,no,392,yes,yes,unknown,28,may,110.0,1,-1,0,unknown,no
44,management,single,tertiary,no,520,yes,no,unknown,21,may,244.0,2,-1,0,unknown,no
49,technician,married,tertiary,no,286,yes,yes,unknown,28,may,154.0,3,-1,0,unknown,no
31,blue-collar,married,primary,no,15,yes,no,unknown,2,jun,114.0,2,-1,0,unknown,no
58,blue-collar,married,primary,no,734,yes,no,unknown,13,may,211.0,1,-1,0,unknown,no
36,technician,married,secondary,no,648,yes,no,unknown,21,may,317.0,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,no,240,no,no,unknown,19,may,554.0,4,-1,0,unknown,no
55,services,married,secondary,no,3125,yes,no,unknown,19,may,89.0,1,-1,0,unknown,no
59,blue-collar,married,primary,no,60,yes,no,unknown,9,may,201.0,2,-1,0,unknown,no
37,admin.,single,secondary,no,-875,yes,no,unknown,8,may,213.0,1,-1,0,unknown,no
55,blue-collar,married,primary,no,221,yes,no,unknown,3,jun,229.0,4,-1,0,unknown,no
36,technician,married,tertiary,no,-185,yes,no,unknown,16,may,189.0,1,-1,0,unknown,no
33,blue-collar,married,primary,no,1375,yes,no,unknown,21,may,428.0,3,-1,0,unknown,no
59,blue-collar,married,primary,no,361,yes,no,unknown,29,may,311.0,6,-1,0,unknown,no
39,blue-collar,single,primary,no,3634,no,no,unknown,6,jun,206.0,2,-1,0,unknown,no
32,technician,single,secondary,no,17,yes,no,unknown,26,may,214.0,1,-1,0,unknown,no
40,blue-collar,married,primary,no,746,yes,no,unknown,5,may,129.0,1,-1,0,unknown,no
45,services,single,secondary,no,2904,yes,no,unknown,15,may,128.0,1,-1,0,unknown,no
45,blue-collar,married,primary,no,-136,yes,no,unknown,13,may,7.0,1,-1,0,unknown,no
56,blue-collar,married,primary,no,1446,yes,no,unknown,7,may,121.0,4,-1,0,unknown,no
31,admin.,divorced,secondary,no,196,yes,no,unknown,20,may,23.0,2,-1,0,unknown,no
37,unemployed,single,secondary,no,639,yes,no,unknown,2,jun,290.0,2,-1,0,unknown,no
47,blue-collar,married,primary,no,3042,yes,no,unknown,9,may,378.0,1,-1,0,unknown,no
38,technician,divorced,tertiary,no,161,no,no,unknown,4,jun,158.0,3,-1,0,unknown,no
59,entrepreneur,married,tertiary,no,1455,yes,no,unknown,5,jun,120.0,2,-1,0,unknown,no
28,services,single,secondary,no,3343,yes,no,unknown,12,may,84.0,3,-1,0,unknown,no
58,management,divorced,tertiary,no,118,yes,no,unknown,27,may,189.0,1,-1,0,unknown,no
27,services,single,secondary,no,858,yes,no,unknown,26,may,358.0,1,-1,0,unknown,no
25,management,single,tertiary,no,-214,yes,yes,unknown,12,may,122.0,1,-1,0,unknown,no
27,blue-collar,married,secondary,no,2002,no,no,unknown,28,may,395.0,1,-1,0,unknown,no
34,blue-collar,married,primary,no,943,yes,yes,unknown,21,may,296.0,3,-1,0,unknown,no
39,blue-collar,married,secondary,no,359,no,yes,unknown,5,jun,242.0,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,1699,yes,no,unknown,19,may,210.0,1,-1,0,unknown,no
51,management,divorced,tertiary,no,-267,no,yes,unknown,29,may,178.0,2,-1,0,unknown,no
28,technician,single,secondary,yes,-247,no,no,unknown,3,jun,104.0,1,-1,0,unknown,no
39,technician,single,secondary,no,3460,yes,no,unknown,8,may,381.0,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,68,yes,no,unknown,14,may,8.0,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,106,yes,no,unknown,28,may,146.0,4,-1,0,unknown,no
25,blue-collar,single,secondary,no,512,yes,no,unknown,26,may,31.0,2,-1,0,unknown,no
31,blue-collar,single,secondary,no,587,yes,no,unknown,12,may,377.0,1,-1,0,unknown,no
32,services,single,secondary,no,-397,yes,yes,unknown,20,may,141.0,1,-1,0,unknown,no
39,services,divorced,secondary,no,-762,yes,no,unknown,21,may,170.0,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,797,yes,no,unknown,2,jun,81.0,11,-1,0,unknown,no
34,blue-collar,single,secondary,no,229,yes,no,unknown,9,may,123.0,1,-1,0,unknown,no
34,technician,divorced,secondary,no,2639,yes,no,unknown,12,may,157.0,2,-1,0,unknown,no
61,retired,married,secondary,no,229,no,no,unknown,6,may,139.0,1,-1,0,unknown,no
35,management,married,tertiary,no,179,no,no,unknown,3,jun,110.0,1,-1,0,unknown,no
41,unknown,married,unknown,no,1238,yes,no,unknown,27,may,72.0,6,-1,0,unknown,no
44,admin.,married,unknown,no,7014,yes,no,unknown,16,may,159.0,1,-1,0,unknown,no
46,admin.,married,secondary,no,495,yes,no,unknown,13,may,619.0,1,-1,0,unknown,no
55,management,married,tertiary,no,644,yes,no,unknown,26,may,180.0,1,-1,0,unknown,no
60,retired,married,secondary,no,-227,yes,no,unknown,5,may,227.0,2,-1,0,unknown,no
57,management,married,tertiary,no,1044,yes,no,unknown,16,may,155.0,1,-1,0,unknown,no
34,admin.,married,secondary,no,399,yes,no,unknown,8,may,446.0,4,-1,0,unknown,no
39,admin.,single,unknown,no,580,no,no,unknown,15,may,555.0,1,-1,0,unknown,no
49,housemaid,married,primary,no,3571,no,no,unknown,6,jun,554.0,5,-1,0,unknown,no
53,management,married,tertiary,no,2388,yes,no,unknown,5,may,133.0,1,-1,0,unknown,no
31,management,single,tertiary,no,166,yes,no,unknown,2,jun,99.0,1,-1,0,unknown,no
45,admin.,married,secondary,no,0,yes,yes,unknown,3,jun,479.0,1,-1,0,unknown,no
41,unemployed,single,primary,no,42,yes,no,unknown,6,jun,412.0,2,-1,0,unknown,no
31,management,single,tertiary,no,145,yes,no,unknown,23,may,299.0,1,-1,0,unknown,no
45,management,married,tertiary,no,680,yes,yes,unknown,7,may,152.0,3,-1,0,unknown,no
38,technician,married,unknown,no,543,yes,no,unknown,28,may,52.0,4,-1,0,unknown,no
28,management,single,tertiary,no,24,yes,no,unknown,14,may,94.0,1,-1,0,unknown,no
35,management,single,tertiary,no,48,yes,no,unknown,2,jun,206.0,3,-1,0,unknown,no
39,blue-collar,married,primary,no,614,yes,no,unknown,23,may,135.0,4,-1,0,unknown,no
31,admin.,married,secondary,no,2748,yes,yes,unknown,2,jun,91.0,1,-1,0,unknown,no
53,management,married,tertiary,no,-39,yes,yes,unknown,9,jun,21.0,1,-1,0,unknown,no
33,services,married,secondary,no,49,yes,yes,unknown,21,may,78.0,3,-1,0,unknown,no
30,services,single,tertiary,no,-222,yes,no,unknown,9,may,23.0,1,-1,0,unknown,no
29,technician,single,tertiary,no,219,yes,no,unknown,30,may,306.0,2,-1,0,unknown,no
53,services,married,secondary,no,771,yes,yes,unknown,27,may,212.0,1,-1,0,unknown,no
30,services,married,secondary,no,1820,yes,no,unknown,6,may,283.0,1,-1,0,unknown,no
33,technician,married,secondary,no,155,no,yes,unknown,7,may,23.0,1,-1,0,unknown,no
42,management,single,tertiary,no,603,yes,no,unknown,13,may,191.0,2,-1,0,unknown,no
41,services,married,secondary,no,1442,yes,no,unknown,2,jun,84.0,2,-1,0,unknown,no
47,blue-collar,married,primary,no,157,yes,no,unknown,15,may,211.0,1,-1,0,unknown,no
33,services,married,secondary,no,-754,yes,no,unknown,23,may,24.0,1,-1,0,unknown,no
51,blue-collar,married,primary,no,230,yes,no,unknown,28,may,96.0,1,-1,0,unknown,no
42,technician,married,tertiary,no,3110,yes,no,unknown,15,may,268.0,11,-1,0,unknown,no
27,technician,single,tertiary,no,399,yes,no,unknown,4,jun,271.0,1,-1,0,unknown,no
48,blue-collar,single,primary,no,376,no,yes,unknown,6,jun,323.0,1,-1,0,unknown,no
51,blue-collar,married,primary,no,230,yes,yes,unknown,28,may,96.0,2,-1,0,unknown,no
35,blue-collar,married,primary,no,166,yes,no,unknown,21,may,415.0,1,-1,0,unknown,no
41,services,married,secondary,no,1960,yes,yes,unknown,13,may,32.0,1,-1,0,unknown,no
29,blue-collar,married,primary,no,5853,yes,no,unknown,3,jun,222.0,1,-1,0,unknown,no
44,blue-collar,married,primary,no,1265,yes,no,unknown,6,may,315.0,2,-1,0,unknown,no
42,blue-collar,married,primary,no,-511,yes,no,unknown,14,may,101.0,1,-1,0,unknown,no
42,blue-collar,married,primary,no,751,yes,yes,unknown,14,may,167.0,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,718,yes,no,unknown,23,may,181.0,3,-1,0,unknown,no
40,admin.,divorced,secondary,no,563,yes,no,unknown,29,may,926.0,3,-1,0,unknown,no
37,admin.,divorced,secondary,no,-166,yes,no,unknown,13,may,351.0,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,1322,yes,no,unknown,30,may,80.0,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,-306,yes,no,unknown,19,may,66.0,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,-278,yes,no,unknown,26,may,318.0,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,1854,yes,no,unknown,8,may,86.0,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,131,yes,no,unknown,9,may,848.0,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,1297,no,no,unknown,5,may,701.0,1,-1,0,unknown,yes
51,blue-collar,married,secondary,no,3128,yes,no,unknown,13,may,172.0,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,2047,yes,no,unknown,3,jun,115.0,2,-1,0,unknown,no
24,blue-collar,single,secondary,no,0,yes,yes,unknown,19,may,229.0,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,4666,yes,no,unknown,9,may,205.0,3,-1,0,unknown,no
32,blue-collar,married,unknown,no,-551,yes,yes,unknown,8,may,260.0,1,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,132,yes,no,unknown,6,jun,116.0,1,-1,0,unknown,no
30,self-employed,single,tertiary,no,981,yes,no,unknown,2,jun,450.0,7,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,379,yes,yes,unknown,6,jun,391.0,2,-1,0,unknown,no
41,blue-collar,divorced,primary,no,-76,yes,yes,unknown,14,may,162.0,5,-1,0,unknown,no
49,blue-collar,divorced,secondary,no,592,yes,no,unknown,4,jun,175.0,3,-1,0,unknown,no
33,management,married,tertiary,no,118,yes,no,unknown,3,jun,323.0,2,-1,0,unknown,no
52,entrepreneur,married,primary,no,0,no,no,unknown,9,jun,166.0,1,-1,0,unknown,no
36,services,single,tertiary,no,882,no,no,unknown,26,may,91.0,4,-1,0,unknown,no
57,management,married,primary,no,-848,yes,no,unknown,13,may,288.0,1,-1,0,unknown,no
36,services,married,primary,no,1464,yes,no,unknown,28,may,23.0,6,-1,0,unknown,no
36,blue-collar,married,primary,no,6,no,no,unknown,2,jun,92.0,2,-1,0,unknown,no
44,admin.,single,secondary,no,38,yes,no,unknown,5,may,230.0,1,-1,0,unknown,no
34,admin.,married,secondary,no,5625,yes,no,unknown,6,may,29.0,2,-1,0,unknown,no
35,technician,married,unknown,no,484,yes,no,unknown,28,may,629.0,1,-1,0,unknown,no
41,services,married,secondary,no,304,yes,no,unknown,5,may,165.0,2,-1,0,unknown,no
49,technician,married,tertiary,no,818,yes,no,unknown,6,may,199.0,2,-1,0,unknown,no
42,services,married,secondary,no,76,yes,yes,unknown,14,may,204.0,2,-1,0,unknown,no
41,blue-collar,married,primary,no,193,yes,no,unknown,12,may,202.0,3,-1,0,unknown,no
57,technician,married,secondary,no,25745,no,no,unknown,6,jun,76.0,1,-1,0,unknown,no
37,technician,married,secondary,no,34,yes,no,unknown,23,may,231.0,2,-1,0,unknown,no
47,technician,married,secondary,no,101,yes,no,unknown,30,may,84.0,2,-1,0,unknown,no
29,blue-collar,married,primary,no,788,yes,no,unknown,3,jun,163.0,1,-1,0,unknown,no
24,admin.,single,secondary,no,1944,yes,no,unknown,29,may,331.0,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,0,no,no,unknown,2,jun,215.0,2,-1,0,unknown,no
57,technician,married,secondary,no,4527,yes,no,unknown,28,may,198.0,2,-1,0,unknown,no
43,technician,married,secondary,no,1333,yes,no,unknown,15,may,282.0,3,-1,0,unknown,no
37,services,married,secondary,no,1150,yes,no,unknown,7,may,837.0,4,-1,0,unknown,no
39,entrepreneur,married,tertiary,no,3656,no,yes,unknown,7,may,234.0,1,-1,0,unknown,no
44,technician,married,secondary,no,-116,yes,no,unknown,14,may,197.0,2,-1,0,unknown,no
31,technician,single,secondary,no,159,yes,no,unknown,23,may,275.0,2,-1,0,unknown,no
31,services,married,secondary,no,1068,yes,yes,unknown,15,may,42.0,1,-1,0,unknown,no
31,blue-collar,married,primary,no,1298,yes,no,unknown,9,may,126.0,2,-1,0,unknown,no
37,management,divorced,tertiary,no,0,yes,no,unknown,7,may,143.0,1,-1,0,unknown,no
28,admin.,single,secondary,no,680,yes,yes,unknown,9,may,464.0,1,-1,0,unknown,no
49,blue-collar,single,primary,no,175,yes,no,unknown,4,jun,484.0,1,-1,0,unknown,no
37,technician,single,tertiary,no,751,yes,no,unknown,2,jun,206.0,1,-1,0,unknown,no
40,services,single,secondary,no,450,yes,no,unknown,5,may,369.0,1,-1,0,unknown,no
39,blue-collar,married,unknown,no,-28,yes,no,unknown,4,jun,165.0,8,-1,0,unknown,no
32,blue-collar,married,secondary,no,596,yes,no,unknown,21,may,67.0,2,-1,0,unknown,no
23,blue-collar,single,tertiary,no,535,yes,no,unknown,9,may,21.0,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,311,yes,no,unknown,30,may,185.0,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,443,yes,no,unknown,20,may,455.0,2,-1,0,unknown,no
44,admin.,divorced,secondary,no,2585,yes,no,unknown,7,may,322.0,2,-1,0,unknown,no
59,blue-collar,married,secondary,no,123,yes,no,unknown,29,may,170.0,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,109,yes,no,unknown,28,may,207.0,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,36,yes,no,unknown,27,may,126.0,2,-1,0,unknown,no
55,services,divorced,secondary,no,77,yes,no,unknown,9,may,66.0,3,-1,0,unknown,no
41,blue-collar,married,secondary,no,738,yes,no,unknown,13,may,71.0,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,2485,yes,no,unknown,6,jun,491.0,1,-1,0,unknown,no
35,services,divorced,secondary,no,1181,yes,no,unknown,14,may,58.0,4,-1,0,unknown,no
54,blue-collar,married,secondary,no,4023,yes,no,unknown,7,may,181.0,2,-1,0,unknown,no
38,blue-collar,married,secondary,no,421,no,yes,unknown,9,may,40.0,1,-1,0,unknown,no
37,management,divorced,tertiary,no,149,yes,yes,unknown,5,jun,428.0,6,-1,0,unknown,no
23,blue-collar,married,secondary,no,297,yes,yes,unknown,16,may,136.0,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,426,yes,no,unknown,20,may,233.0,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,-1196,yes,yes,unknown,2,jun,218.0,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,1480,yes,yes,unknown,20,may,361.0,1,-1,0,unknown,no
30,blue-collar,single,secondary,no,-136,yes,no,unknown,3,jun,8.0,2,-1,0,unknown,no
53,technician,divorced,secondary,no,682,yes,no,unknown,14,may,154.0,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,-666,yes,no,unknown,5,may,389.0,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,960,yes,no,unknown,29,may,186.0,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,1075,yes,no,unknown,4,jun,916.0,2,-1,0,unknown,yes
40,blue-collar,divorced,secondary,no,3254,yes,no,unknown,15,may,217.0,3,-1,0,unknown,no
52,entrepreneur,divorced,secondary,no,895,yes,yes,unknown,6,may,97.0,4,-1,0,unknown,no
54,retired,single,primary,no,1854,yes,no,unknown,6,may,393.0,1,-1,0,unknown,no
40,management,married,tertiary,no,111,yes,no,unknown,26,may,165.0,1,-1,0,unknown,no
41,services,married,secondary,no,60,no,no,unknown,14,may,420.0,1,-1,0,unknown,no
35,management,married,tertiary,no,299,yes,no,unknown,20,may,252.0,4,-1,0,unknown,no
44,management,married,tertiary,no,-69,yes,no,unknown,9,jun,264.0,6,-1,0,unknown,no
36,unemployed,married,secondary,no,150,no,no,unknown,9,jun,24.0,1,-1,0,unknown,no
36,services,single,primary,no,1455,yes,no,unknown,3,jun,87.0,4,-1,0,unknown,no
45,admin.,single,secondary,no,63,yes,no,unknown,8,may,235.0,1,-1,0,unknown,no
37,admin.,married,secondary,no,-849,yes,no,unknown,3,jun,83.0,1,-1,0,unknown,no
50,management,married,tertiary,no,-34,yes,no,unknown,6,may,736.0,3,-1,0,unknown,no
24,admin.,single,secondary,no,77,yes,no,unknown,28,may,78.0,3,-1,0,unknown,no
53,management,married,secondary,no,0,yes,no,unknown,15,may,88.0,1,-1,0,unknown,no
33,admin.,single,secondary,no,23,yes,no,unknown,19,may,37.0,2,-1,0,unknown,no
57,blue-collar,married,primary,no,343,no,no,unknown,8,may,107.0,12,-1,0,unknown,no
37,admin.,married,secondary,no,347,yes,yes,unknown,2,jun,216.0,2,-1,0,unknown,no
49,services,married,unknown,no,1211,yes,no,unknown,7,may,268.0,1,-1,0,unknown,no
37,admin.,married,secondary,no,888,yes,no,unknown,2,jun,260.0,1,-1,0,unknown,no
42,unemployed,married,tertiary,no,434,yes,no,unknown,15,may,190.0,2,-1,0,unknown,no
31,technician,single,tertiary,no,136,yes,no,unknown,21,may,38.0,1,-1,0,unknown,no
33,technician,married,tertiary,no,-319,yes,no,unknown,9,jun,89.0,1,-1,0,unknown,no
38,blue-collar,married,primary,no,1839,no,no,unknown,5,jun,49.0,5,-1,0,unknown,no
44,blue-collar,married,primary,no,164,yes,no,unknown,15,may,547.0,5,-1,0,unknown,no
57,technician,married,secondary,no,457,yes,no,unknown,5,jun,257.0,2,-1,0,unknown,no
39,technician,married,secondary,no,101,yes,no,unknown,26,may,689.0,2,-1,0,unknown,no
28,blue-collar,married,primary,no,641,yes,no,unknown,7,may,226.0,2,-1,0,unknown,no
55,blue-collar,married,primary,no,0,yes,no,unknown,5,jun,55.0,4,-1,0,unknown,no
34,management,single,tertiary,no,1999,yes,no,unknown,20,may,163.0,4,-1,0,unknown,no
54,entrepreneur,married,tertiary,no,202,yes,no,unknown,29,may,222.0,2,-1,0,unknown,no
41,management,single,tertiary,no,1201,yes,no,unknown,21,may,106.0,1,-1,0,unknown,no
51,housemaid,married,secondary,no,1903,no,yes,unknown,6,jun,163.0,2,-1,0,unknown,no
34,technician,married,secondary,no,606,yes,no,unknown,23,may,1089.0,1,-1,0,unknown,no
52,blue-collar,married,primary,no,232,yes,no,unknown,3,jun,182.0,7,-1,0,unknown,no
42,blue-collar,married,primary,no,-320,yes,no,unknown,4,jun,199.0,6,-1,0,unknown,no
58,entrepreneur,married,secondary,no,1334,no,no,unknown,6,jun,95.0,3,-1,0,unknown,no
50,blue-collar,married,primary,no,8457,yes,no,unknown,15,may,94.0,1,-1,0,unknown,no
41,self-employed,married,tertiary,no,101,no,no,unknown,6,jun,99.0,1,-1,0,unknown,no
28,management,single,secondary,no,1427,yes,no,unknown,12,may,95.0,1,-1,0,unknown,no
48,services,married,secondary,no,546,yes,yes,unknown,9,jun,148.0,2,-1,0,unknown,no
25,technician,single,secondary,no,327,yes,no,unknown,28,may,317.0,2,-1,0,unknown,no
30,services,single,secondary,no,1351,yes,no,unknown,28,may,79.0,2,-1,0,unknown,no
60,blue-collar,married,secondary,no,0,no,no,unknown,5,may,422.0,3,-1,0,unknown,no
30,technician,single,secondary,no,-85,yes,no,unknown,15,may,322.0,2,-1,0,unknown,no
30,blue-collar,single,unknown,no,336,yes,no,unknown,14,may,186.0,4,-1,0,unknown,no
43,blue-collar,married,secondary,no,734,yes,no,unknown,14,may,139.0,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,385,yes,no,unknown,27,may,101.0,1,-1,0,unknown,no
45,management,divorced,tertiary,no,0,yes,yes,unknown,9,may,225.0,4,-1,0,unknown,no
34,blue-collar,married,secondary,no,34,yes,no,unknown,19,may,230.0,4,-1,0,unknown,no
24,services,single,secondary,no,5700,yes,no,unknown,6,may,162.0,1,-1,0,unknown,no
48,services,divorced,secondary,no,274,yes,no,unknown,30,may,160.0,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,276,yes,no,unknown,19,may,132.0,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,358,yes,yes,unknown,2,jun,143.0,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,101,yes,no,unknown,3,jun,723.0,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,112,yes,no,unknown,28,may,241.0,5,-1,0,unknown,no
