age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
38,blue-collar,married,primary,,3251,yes,no,cellular,18,may,513,1,-1,0,unknown,no
61,management,married,primary,,84,no,yes,cellular,31,jul,62,2,-1,0,unknown,no
44,management,married,tertiary,,6936,no,no,cellular,16,apr,228,2,158,1,other,no
26,technician,single,tertiary,,1548,no,no,cellular,3,dec,288,2,-1,0,unknown,no
43,blue-collar,married,primary,,4133,no,no,cellular,8,aug,219,2,211,3,failure,no
52,technician,married,tertiary,,1163,no,no,cellular,19,aug,4790,2,-1,0,unknown,yes
31,blue-collar,married,secondary,,276,yes,no,cellular,5,feb,98,2,-1,0,unknown,no
46,technician,divorced,secondary,,82,yes,no,unknown,14,may,179,2,-1,0,unknown,no
60,retired,married,secondary,,230,no,no,cellular,24,nov,445,1,528,4,failure,yes
42,admin.,married,secondary,,375,no,no,cellular,4,feb,349,2,73,1,other,no
51,management,married,secondary,,397,yes,no,cellular,23,jul,145,2,-1,0,unknown,no
37,blue-collar,married,primary,,-241,no,yes,unknown,26,may,377,2,-1,0,unknown,no
35,services,single,secondary,,0,no,no,cellular,23,jul,133,2,-1,0,unknown,no
41,services,single,tertiary,,746,no,no,cellular,25,aug,140,3,-1,0,unknown,no
46,blue-collar,married,primary,,1453,no,yes,cellular,30,apr,143,1,358,3,failure,yes
55,management,married,tertiary,,1870,no,no,cellular,31,aug,214,9,-1,0,unknown,no
31,entrepreneur,single,unknown,,440,no,no,unknown,9,jun,444,1,-1,0,unknown,no
43,management,single,tertiary,,1559,yes,no,telephone,5,feb,15,3,-1,0,unknown,no
51,services,married,secondary,,325,no,no,cellular,18,nov,268,2,193,2,failure,no
41,admin.,married,secondary,,96,yes,no,unknown,12,jun,126,2,-1,0,unknown,no
34,entrepreneur,married,tertiary,,1190,no,yes,unknown,27,jun,238,2,-1,0,unknown,no
36,blue-collar,married,secondary,,1358,no,no,unknown,9,jun,101,2,-1,0,unknown,no
32,housemaid,married,primary,,783,no,no,cellular,13,aug,343,2,-1,0,unknown,no
49,technician,married,primary,,1323,yes,no,cellular,17,apr,103,3,325,3,other,no
52,services,married,secondary,,0,no,yes,cellular,8,jul,57,10,-1,0,unknown,no
31,entrepreneur,single,tertiary,,735,yes,no,cellular,9,jul,75,1,-1,0,unknown,no
48,blue-collar,married,primary,,34,yes,no,cellular,29,jan,663,1,317,2,other,yes
51,self-employed,married,tertiary,,1083,no,no,cellular,19,mar,58,3,-1,0,unknown,yes
49,management,divorced,tertiary,,141,no,yes,cellular,21,jul,1166,3,-1,0,unknown,no
53,management,married,secondary,,5800,no,no,telephone,23,apr,528,4,-1,0,unknown,yes
38,blue-collar,married,secondary,,-133,yes,no,cellular,21,nov,126,1,-1,0,unknown,yes
70,retired,married,secondary,,5440,no,no,cellular,6,aug,699,4,-1,0,unknown,no
49,blue-collar,married,secondary,,1046,no,no,telephone,8,jul,168,1,-1,0,unknown,no
41,management,single,tertiary,,627,no,yes,cellular,28,aug,14,4,-1,0,unknown,no
26,services,single,secondary,,3402,yes,no,cellular,7,aug,159,3,-1,0,unknown,no
35,technician,single,secondary,,490,yes,yes,cellular,28,jul,50,2,-1,0,unknown,no
36,entrepreneur,married,secondary,,219,yes,no,telephone,25,nov,107,1,-1,0,unknown,yes
48,admin.,married,secondary,,135,no,no,cellular,8,apr,175,1,-1,0,unknown,no
41,management,married,tertiary,,289,yes,no,cellular,12,may,272,4,254,7,other,no
61,housemaid,married,primary,,814,yes,no,unknown,20,may,149,4,-1,0,unknown,no
35,management,married,tertiary,,2685,no,no,cellular,14,aug,111,6,-1,0,unknown,no
42,blue-collar,married,primary,,-45,yes,no,unknown,30,may,175,1,-1,0,unknown,no
45,management,single,tertiary,,2202,no,no,cellular,14,aug,1970,4,-1,0,unknown,yes
56,services,married,unknown,,249,no,yes,cellular,12,aug,128,2,-1,0,unknown,no
55,technician,married,secondary,,344,yes,no,unknown,18,jun,84,2,-1,0,unknown,no
57,housemaid,married,primary,,253,no,no,unknown,12,jun,117,4,-1,0,unknown,no
33,student,married,secondary,,1540,no,no,cellular,5,feb,189,1,-1,0,unknown,no
42,blue-collar,married,secondary,,0,no,no,cellular,11,aug,348,2,-1,0,unknown,no
46,housemaid,married,primary,,680,no,yes,cellular,4,feb,81,2,-1,0,unknown,no
49,technician,married,tertiary,,1942,yes,no,unknown,2,jun,99,1,-1,0,unknown,no
34,technician,single,secondary,,537,no,no,unknown,7,may,271,1,-1,0,unknown,yes
38,technician,single,tertiary,,872,yes,no,telephone,7,jul,131,1,-1,0,unknown,no
41,blue-collar,married,secondary,,-228,yes,no,cellular,19,nov,109,3,89,1,failure,no
50,technician,married,secondary,,1371,yes,no,telephone,11,may,8,3,-1,0,unknown,no
48,retired,single,primary,,609,no,no,unknown,1,jul,92,1,-1,0,unknown,no
28,admin.,married,tertiary,,44701,no,no,unknown,12,jun,83,7,-1,0,unknown,no
33,blue-collar,married,secondary,,416,no,no,cellular,5,aug,161,1,-1,0,unknown,no
68,retired,married,secondary,,0,no,no,cellular,9,apr,280,1,-1,0,unknown,no
47,admin.,married,secondary,,1765,yes,no,cellular,20,apr,202,1,-1,0,unknown,no
42,admin.,single,secondary,,2652,yes,no,cellular,12,aug,237,2,-1,0,unknown,no
58,blue-collar,married,secondary,,8712,yes,no,telephone,16,jul,184,1,-1,0,unknown,no
57,self-employed,divorced,tertiary,,51,no,no,cellular,28,aug,243,4,-1,0,unknown,no
37,housemaid,married,tertiary,,473,no,no,cellular,12,jan,203,3,-1,0,unknown,no
28,services,single,secondary,,1747,yes,no,cellular,18,nov,57,1,-1,0,unknown,no
35,services,married,secondary,,-555,no,yes,cellular,23,jul,434,4,-1,0,unknown,no
36,technician,single,unknown,,395,no,yes,cellular,28,jan,80,1,-1,0,unknown,no
32,admin.,divorced,secondary,,478,no,no,telephone,18,nov,86,1,-1,0,unknown,no
53,entrepreneur,married,tertiary,,22,no,no,cellular,3,feb,84,1,340,2,failure,yes
39,management,single,tertiary,,4339,no,no,unknown,20,jun,57,2,-1,0,unknown,no
60,technician,married,tertiary,,4580,yes,no,cellular,18,may,149,2,-1,0,unknown,no
47,management,married,tertiary,,1640,yes,no,unknown,28,may,96,2,-1,0,unknown,no
75,retired,married,primary,,37837,no,no,cellular,17,nov,84,3,-1,0,unknown,no
42,admin.,married,unknown,,5345,no,no,unknown,20,jun,202,2,-1,0,unknown,no
36,technician,single,tertiary,,422,no,no,cellular,13,may,134,4,-1,0,unknown,no
43,technician,single,unknown,,5939,no,no,cellular,4,aug,143,2,-1,0,unknown,no
42,retired,divorced,secondary,,-256,no,no,telephone,18,jul,263,4,-1,0,unknown,no
